id,name,alias,collegeDataUrl,collegeDataId
2687,CUNY--Brooklyn College,CUNY Brooklyn College CUNY Brooklyn College,,
7279,Hawaii Pacific University,HPU,Hawaii-Pacific-University,652.0
3765,Norfolk State University,,Norfolk-State-University,1079.0
3441,North Greenville University,,North-Greenville-University,1345.0
2843,SUNY College--Cortland,SUNY Cortland SUNY College Cortland,,
3828,West Virginia University--Parkersburg,West Virginia University Parkersburg,,
1138,California State University--East Bay,Cal State University East Bay California State University East Bay,California-State-University-East-Bay,654.0
3586,Lubbock Christian University,,Lubbock-Christian-University,1097.0
31703,Texas A&M University--Texarkana,Texas A & M University--Texarkana Texas A and M University--Texarkana Texas A&M University Texarkana,,
11462,University of Alaska--Anchorage,University of Alaska Anchorage,University-of-Alaska-Anchorage,637.0
3152,University of Central Oklahoma,,University-of-Central-Oklahoma,888.0
3665,West Texas A&M University,West Texas A & M University West Texas A and M University,,
3986,DeSales University,,DeSales-University,13.0
3267,Geneva College,,Geneva-College,447.0
3288,Lebanon Valley College,,Lebanon-Valley-College,427.0
2841,SUNY Brockport,SUNY Brockport College at Brockport SUNY,,
2847,SUNY--Oneonta,SUNY Oneonta SUNY College Oneonta,,
2396,Alcorn State University,,Alcorn-State-University,472.0
1561,Columbus State University,,Columbus-State-University,1468.0
2266,Cornerstone University,,Cornerstone-University,831.0
2403,Delta State University,,Delta-State-University,1670.0
2282,Madonna University,,Madonna-University,1764.0
7085,Mount Vernon Nazarene University,,Mount-Vernon-Nazarene-University,855.0
2501,Southeast Missouri State University,,Southeast-Missouri-State-University,1745.0
2454,University of Central Missouri,,University-of-Central-Missouri,324.0
2928,Fayetteville State University,,Fayetteville-State-University,1036.0
1252,Hope International University,,Hope-International-University,1113.0
1020,Jacksonville State University,,Jacksonville-State-University,1810.0
3592,Midwestern State University,,Midwestern-State-University,1680.0
666974,Southeastern Baptist Theological Seminary,,Southeastern-Baptist-Theological-Seminary,518.0
3631,Tarleton State University,,Tarleton-State-University,1135.0
3799,Walla Walla University,,Walla-Walla-University,757.0
3680,Weber State University,,Weber-State-University,719.0
2805,Roberts Wesleyan College,,Roberts-Wesleyan-College,97.0
3327,Slippery Rock University of Pennsylvania,,Slippery-Rock-University-of-Pennsylvania,60.0
2825,"St. Joseph's University, New York",St Joseph's College New York Saint Joseph's College New York St Josephs College New York Saint Josephs College New York St. Josephs College New York,,
2850,SUNY College--Potsdam,SUNY Potsdam SUNY College Potsdam,,
2360,Minnesota State University--Mankato,Minnesota State University Mankato Minnesota State University Mankato,Minnesota-State-University-Mankato,994.0
3033,Mount St. Joseph University,College of Mount St Joseph College of Mount Saint Joseph,,
3466,Northern State University,,Northern-State-University,1120.0
667012,EDP University of Puerto Rico Inc--San Juan,,,
1591,Shorter University,,Shorter-University,1665.0
1468,St. Thomas University,St Thomas University Saint Thomas University,St-Thomas-University,1662.0
3831,Wheeling University,,,
2598,Caldwell University,,Caldwell-University,658.0
3463,Dakota State University,,Dakota-State-University,934.0
1927,Emporia State University,,Emporia-State-University,1673.0
3072,Malone University,,Malone-University,995.0
2301,Northern Michigan University,,Northern-Michigan-University,837.0
3357,Point Park University,,Point-Park-University,99.0
3181,Southwestern Oklahoma State University,,Southwestern-Oklahoma-State-University,773.0
2107,Stevenson University,,Stevenson-University,1563.0
666992,University of North Texas at Dallas,,University-of-North-Texas-at-Dallas,3563.0
