id,name,alias
9652,University of Puerto Rico--Ponce,University of Puerto Rico Ponce
3747,University of Virginia--Wise,University of Virginia Wise
2523,Westminster College (MO),
2003,Centenary College,
1586,Oglethorpe University,
3742,Sweet Briar College,
1896,Wartburg College,
1788,Butler University,
2526,Carroll College,
2500,College of the Ozarks,
2933,High Point University,
3406,Providence College,
1515,Rollins College,
1838,Taylor University,
3647,Trinity University,
1415,United States Coast Guard Academy,
2124,Bentley University,
1641,Bradley University,
1143,California Polytechnic State University--San Luis Obispo,Cal Poly California Polytechnic State University San Luis Obispo
3423,"The Citadel, The Military College of South Carolina",
2710,Cooper Union for the Advancement of Science and Art,
666090,Embry-Riddle Aeronautical University--Prescott,Embry-Riddle Aeronautical University Prescott
3050,John Carroll University,JCU
1102,Ouachita Baptist University,
1134,California State University--Maritime Academy,
1385,Fairfield University,
506094,Florida Polytechnic University,
3721,James Madison University,JMU
3089,Ohio Northern University,ONU
2892,United States Merchant Marine Academy,USMMA
3224,University of Portland,UP
1281,William Jessup University,
1554,Berry College,
2241,Calvin University,
666970,Cottey College,
7893,Flagler College,
2078,Loyola University Maryland,
2044,Maine Maritime Academy,
3804,Whitworth University,
1859,Dordt University,
3505,Maryville College,
2181,Massachusetts Maritime Academy,
1302,Saint Mary's College of California,St Mary's College of California Saint Mary's College of California St Marys College of California Saint Marys College of California St. Marys College of California
1531,Stetson University,
3641,Texas Lutheran University,
3384,University of Scranton,
1094,University of the Ozarks,
3144,Xavier University,
2906,Appalachian State University,
3706,Christopher Newport University,CNU
2642,The College of New Jersey,
3073,Marietta College,
1883,Northwestern College,
3164,Oklahoma Baptist University,
2854,SUNY College of Technology at Alfred,SUNY Alfred SUNY College of Technology Alfred
2495,Truman State University,
3651,University of Dallas,
2040,University of Maine at Farmington,UMaine--Farmington University of Maine Farmington
1322,University of Redlands,
3402,Bryant University,
3424,Claflin University,
3985,Oral Roberts University,
1795,University of Evansville,
1133,California Lutheran University,CLU
2914,Catawba College,
2572,Colby-Sawyer College,Colby Sawyer College
2146,Emerson College,
1488,Florida Southern College,
1799,Goshen College,
3868,Milwaukee School of Engineering,MSOE
3367,Saint Joseph's University,St Joseph's University Saint Joseph's University St Josephs University Saint Josephs University St. Josephs University
3610,Schreiner University,
30018,Welch College,
2524,William Jewell College,
3014,Baldwin Wallace University,Baldwin Wallace College
3428,College of Charleston,
2718,Elmira College,
2590,Keene State College,
3395,Pennsylvania College of Technology,Penn College
3621,St. Edward's University,St Edward's University Saint Edward's University St Edwards University Saint Edwards University St. Edwards University
3225,Warner Pacific University,
3458,Augustana University,
1750,Dominican University,
1479,Embry-Riddle Aeronautical University -- Daytona Beach,Embry Riddle Aeronautical University
2739,Ithaca College,
1100,John Brown University,
1578,LaGrange College,
2765,Marist College,
3511,Milligan University,
1238,Mills College,
3211,Oregon Tech,OIT
3623,St. Mary's University of San Antonio,St Mary's University of San Antonio Saint Mary's University of San Antonio St Marys University of San Antonio Saint Marys University of San Antonio St. Marys University of San Antonio
3083,University of Mount Union,
2236,Alma College,
3432,Erskine College,
3591,McMurry University,
3440,Newberry College,
1139,California State University--Long Beach,Cal State University Long Beach California State University Long Beach
1339,Corban University,
2461,Drury University,
2354,Hamline University,
2262,Kettering University,
1724,Millikin University,
3110,Otterbein University,
1262,Point Loma Nazarene University,
2855,SUNY College of Technology at Canton,SUNY Canton SUNY College of Technology Canton
11678,SUNY Polytechnic Institute,SUNY Institute of Technology--Utica/Rome SUNY Institute of Technology Utica Rome
7113,Arizona Christian University,
1952,Asbury University,
2685,Cazenovia College,
1019,Huntingdon College,
2748,Le Moyne College,LeMoyne College
1873,Loras College,
2758,Manhattan College,
2816,Siena College,
2857,SUNY College of Technology--Delhi,SUNY Delhi SUNY College of Technology Delhi
1538,University of Tampa,
2908,Barton College,
1606,Brigham Young University--Hawaii,BYU Hawaii Brigham Young University Hawaii
1144,California State Polytechnic University--Pomona,Cal Poly  California State Polytechnic University Pomona
3839,Carthage College,
3785,Pacific Lutheran University,
3564,East Texas Baptist University,
2858,Farmingdale State College--SUNY,Farmingdale State College SUNY Farmingdale Farmingdale State College SUNY
3049,Hiram College,
2957,Queens University of Charlotte,
2820,St. Francis College,St Francis College Saint Francis College
1029,University of Mobile,
6951,University of South Carolina Upstate,University of South Carolina Upstate
2032,Xavier University of Louisiana,
3537,Abilene Christian University,ACU
10256,Benedictine College,
1625,Brigham Young University--Idaho,BYU Idaho Brigham Young University Idaho
4766,CUNY--Baruch College,CUNY Baruch College CUNY Baruch College
2845,SUNY--Geneseo,SUNY Geneseo SUNY Geneseo
2521,Webster University,
3802,Western Washington University,
2398,Blue Mountain College,
3025,Cedarville University,
1676,Elmhurst University,
2548,Hastings College,
12630,Life Pacific University,
12031,San Diego Christian College,
2856,SUNY Cobleskill,SUNY Cobleskill SUNY College of Agriculture and Technology Cobleskill
1050,Tuskegee University,
3449,University of South Carolina Aiken,University of South Carolina Aiken
3456,Winthrop University,
2234,Adrian College,
2689,CUNY--Hunter College,CUNY Hunter College CUNY Hunter College
2616,Monmouth University,
2817,St. Bonaventure University,St Bonaventure University Saint Bonaventure University
3376,Thiel College,
3380,University of Pittsburgh at Bradford,
3681,Westminster College (UT),
2910,Belmont Abbey College,
1137,California State University--Fullerton,Cal State University Fullerton California State University Fullerton
3036,Franciscan University of Steubenville,
1822,Indiana Wesleyan University,
666990,John Paul the Great Catholic University,
1707,Lewis University,
3719,Longwood University,
1734,North Central College,
3525,Tennessee Wesleyan University,
1771,Trinity Christian College,
3746,University of Mary Washington,
1890,University of Northern Iowa,
21366,Wisconsin Lutheran College,
666973,The College of Westchester,
3575,Howard Payne University,
2654,New Mexico Tech,New Mexico Tech NMT
3654,University of St. Thomas (TX),University of St Thomas University of Saint Thomas
2665,Vaughn College of Aeronautics and Technology,
3702,Averett University,
2912,Brevard College,
2681,Canisius College,
666987,Florida National University--Main Campus,
1602,Georgia College & State University,
1969,Kentucky Wesleyan College,
1621,Lewis-Clark State College,Lewis Clark State College
2788,Niagara University,
3720,University of Lynchburg,
2981,Western Carolina University,
3461,Dakota Wesleyan University,
2795,Paul Smith's College,Paul Smiths College
1155,San José State University,
6858,Unity College,
2537,University of Montana Western,University of Montana Western
1140,California State University--Los Angeles,Cal State University Los Angeles California State University Los Angeles Cal State LA CSULA
1196,Dominican University of California,
2148,Endicott College,
3048,Heidelberg University,
7263,"Holy Cross College at Notre Dame, Indiana",
3298,Messiah University,
3411,Salve Regina University,
3366,St. Francis University,St Francis University Saint Francis University
2527,University of Providence,
2334,Augsburg University,
3482,Christian Brothers University,
2555,Nebraska Wesleyan University,
3174,Oklahoma Panhandle State University,
2499,Rockhurst University,
32603,California State University--Monterey Bay,Cal State University Monterey Bay California State University Monterey Bay
1605,Chaminade University of Honolulu,
1678,Eureka College,
2930,Greensboro College,
23172,Maranatha Baptist University,
1977,Murray State University,
1258,Pacific Union College,
3168,Rogers State University,
1596,Toccoa Falls College,
4069,University of Minnesota Crookston,University of Minnesota Crookston
3306,University of Valley Forge,
3683,Castleton University,
1004,University of Montevallo,
3698,Vermont Technical College,
3811,Davis and Elkins College,Davis & Elkins
2268,Grand Valley State University,
3500,Lee University,
1821,Marian University (IN),
2775,Molloy College,
1243,Mount Saint Mary's University,Mount St Mary's College Mount St Marys College Mount Saint Mary's College Mount Saint Marys College Mount St. Marys College
2628,Rider University,
4917,Roger Williams University,
2211,Springfield College,
1889,St. Ambrose University,St Ambrose University Saint Ambrose University
1016,University of North Alabama,
1177,University of Silicon Valley,
600788,University of Washington Bothell,
2144,Dean College,
3280,Keystone College,
2939,Lees-McRae College,Lees McRae College
1824,Oakland City University,
666994,Snow College,
3382,University of Pittsburgh--Johnstown,
1846,Briar Cliff University,
1212,Humphreys University,
2944,Mars Hill University,
1745,Quincy University,
3732,Radford University,
1526,Saint Leo University,St Leo University Saint Leo University
1154,San Francisco State University,SFSU
21078,University of Hawaii--West Oahu,UH West Oahu University of Hawaii West Oahu
1149,California Polytechnic State University -- Humboldt,
1157,California State University--Stanislaus,Cal State University Stanislaus California State University Stanislaus
3584,LeTourneau University,
9333,University of Illinois--Springfield,UIS University of Illinois Springfield
610134,University of Washington Tacoma,
2953,William Peace University,
1951,Alice Lloyd College,
1905,Bethel College,
3016,Bluffton University,
666997,Bob Jones University,
1958,Brescia University,
3838,Carroll University,
3492,Freed-Hardeman University,Freed Hardeman University
1803,Huntington University,
1495,Jacksonville University,
2109,McDaniel College,
3172,Oklahoma State University Institute of Technology--Okmulgee,OSU Oklahoma State University Institute of Technology Okmulgee
2846,SUNY--New Paltz,SUNY New Paltz SUNY New Paltz
2563,Union College (NE),
2033,University of Maine--Presque Isle,UMaine--Presque Isle University of Maine Presque Isle
2326,University of Michigan--Dearborn,UM University of Michigan Dearborn
3531,University of Tennessee at Martin,University of Tennessee Martin
29099,Wentworth Institute of Technology,
183789,Berkeley College (NJ),
3619,Southwestern Adventist University,
4759,CUNY--York College,CUNY York College CUNY York College
2926,Elizabeth City State University,
3180,Southwestern Christian University,
1086,University of Arkansas--Pine Bluff,University of Arkansas Pine Bluff
2041,University of Maine--Fort Kent,UMaine--Fort Kent University of Maine Fort Kent
2118,Assumption University,
1125,California Baptist University,CBU
2460,Culver-Stockton College,Culver Stockton College
3577,Huston-Tillotson University,Huston Tillotson University
2120,Merrimack College,
2779,Nazareth College,
4804,New York Institute of Technology,NYIT
20839,Northern New Mexico College,
9344,Ramapo College of New Jersey,
2380,Saint Mary's University of Minnesota,St Mary's University of Minnesota Saint Mary's University of Minnesota St Marys University of Minnesota Saint Marys University of Minnesota St. Marys University of Minnesota
3362,Seton Hill University,
9345,Stockton University,
2218,Suffolk University,
2551,University of Nebraska at Kearney,University of Nebraska Kearney
2899,Wagner College,
33733,Beacon College,
2696,CUNY--New York City College of Technology,CUNY New York City College of Technology CUNY New York City College of Technology
3708,Eastern Mennonite University,
1867,Grand View University,
1968,Kentucky State University,
1820,Manchester University,
1933,McPherson College,
2531,Montana Technological University,
3302,Mount Aloysius College,
3794,Saint Martin's University,St Martin's University Saint Martin's University St Martins University Saint Martins University St. Martins University
2990,University of Jamestown,
1585,University of North Georgia,
3504,University of Tennessee Southern,
3946,University of the Virgin Islands,
3955,University of West Florida,
3142,Wilmington College,
3084,Muskingum University,
3669,Wiley College,
1142,California State University--San Bernardino,Cal State University San Bernardino California State University San Bernardino
3023,Capital University,
2541,Concordia University (NE),
121561,Five Towns College,
2279,Lawrence Technological University,Lawrence Tech
1156,Sonoma State University,
3919,University of Wisconsin--La Crosse,University of Wisconsin La Crosse
3429,Columbia International University,
3724,Marymount University,
1146,California State University--Chico,Cal State University Chico California State University Chico
1153,California State University--Northridge,Cal State University Northridge CSUN California State University Northridge
3435,Lander University,
