id,rankingType,name,urlName,region,fundingType,rank,location,tuition,totalUndergradEnrollment,costAfterAid,percentReceivingAid,acceptanceRate,hsGpa,engineeringRepScore,businessRepScore,computerScienceRepScore,nursingRepScore,sat25,sat75,act25,act75
3388,national-universities,Villanova University,villanova,,private,49,"Villanova, PA",59900,7037,,,31,3.9,2.5,3.4,2.8,4.0,1320,1460,30,33
1489,national-universities,Florida State University,florida-state-university,,public,55,"Tallahassee, FL",21683,32543,28177.0,40,32,3.6,,3.3,3.0,3.5,1220,1350,27,31
2803,national-universities,Rensselaer Polytechnic Institute,rpi,,private,55,"Troy, NY",58526,6283,38412.0,55,57,3.9,3.5,3.2,3.6,,1300,1500,29,34
1326,national-universities,Santa Clara University,santa-clara-university,,private,55,"Santa Clara, CA",55860,5608,41863.0,30,51,3.7,2.4,3.4,2.7,,1270,1450,28,32
1536,national-universities,University of Miami,university-of-miami,,private,55,"Coral Gables, FL",54760,11334,40041.0,32,33,3.6,2.5,3.3,2.7,3.9,1250,1420,28,32
2882,national-universities,Syracuse University,syracuse-university,,private,59,"Syracuse, NY",57591,14479,38033.0,39,69,3.7,2.8,3.3,3.2,,1160,1370,25,30
2103,national-universities,University of Maryland,university-of-maryland,,public,59,"College Park, MD",38636,30875,42621.0,17,49,3.9,3.7,3.8,4.1,,1270,1480,29,34
3379,national-universities,University of Pittsburgh,university-of-pittsburgh,,public,59,"Pittsburgh, PA",34124,19197,,,64,3.9,3.0,3.4,3.3,4.3,1243,1420,28,32
3798,national-universities,University of Washington,university-of-washington,,public,59,"Seattle, WA",39906,35582,43032.0,9,56,3.7,3.7,3.9,4.4,4.5,1200,1457,27,33
1444,national-universities,George Washington University,george-washington-university,,private,63,"Washington, DC",59870,11762,46483.0,38,43,,2.8,3.4,3.2,3.9,1270,1450,29,33
6965,national-universities,The Pennsylvania State University,penn-state,,public,63,"University Park, PA",36476,39809,44653.0,12,54,,3.7,3.8,3.7,3.9,1150,1340,25,30
6964,national-universities,Rutgers University--New Brunswick,rutgers-new-brunswick,,public,63,"Piscataway, NJ",33005,35844,43062.0,11,67,,3.2,3.3,3.7,3.9,1180,1410,25,32
29013,national-universities,University of Connecticut,uconn,,public,63,"Storrs, CT",41192,18917,41086.0,19,56,,2.8,3.4,3.2,3.7,1170,1390,27,32
2233,national-universities,Worcester Polytechnic Institute,wpi,,private,63,"Worcester, MA",55531,4892,45823.0,56,59,,2.9,2.6,3.3,,1310,1470,29,33
2722,national-universities,Fordham University,fordham-university,,private,68,"New York, NY",55776,9399,49281.0,74,53,3.6,,3.2,,,1230,1410,27,32
1809,national-universities,Indiana University--Bloomington,indiana-university-bloomington,,public,68,"Bloomington, IN",38354,32986,40911.0,17,80,3.8,,4.2,3.3,,1120,1350,24,31
3613,national-universities,Southern Methodist University,smu,,private,68,"Dallas, TX",60236,6827,56230.0,22,53,3.6,2.4,3.5,2.6,,1250,1450,29,33
10366,national-universities,Texas A&M University,texas-am-university-college-station,,public,68,"College Station, TX",40087,55568,37261.0,42,63,,3.9,3.8,3.6,,1160,1380,25,32
2221,national-universities,University of Massachusetts--Amherst,umass-amherst,,public,68,"Amherst, MA",36964,24233,38723.0,31,65,3.9,3.0,3.4,3.8,3.7,1200,1390,27,32
3969,national-universities,"University of Minnesota, Twin Cities",university-of-minnesota-twin-cities,,public,68,"Minneapolis, MN",33843,36061,37228.0,20,70,,3.7,3.9,3.7,4.2,1240,1460,25,31
2903,national-universities,Yeshiva University,yeshiva-university,,private,68,"New York, NY",47500,2017,29849.0,48,67,3.4,,2.3,,,1140,1410,24,31
6967,national-universities,Baylor University,baylor-university,,private,75,"Waco, TX",50232,14399,40557.0,52,68,,2.4,3.2,2.7,3.7,1190,1360,26,31
3425,national-universities,Clemson University,clemson-university,,public,75,"Clemson, SC",37712,20840,44635.0,6,62,3.9,3.0,3.3,3.2,3.7,1210,1390,27,32
11649,national-universities,Loyola Marymount University,loyola-marymount-university,,private,75,"Los Angeles, CA",53051,6673,48512.0,45,50,3.9,3.3,3.0,,,1210,1390,27,31
3754,national-universities,Virginia Tech,virginia-tech,,public,75,"Blacksburg, VA",33253,30020,40539.0,22,67,3.9,4.0,3.5,3.8,,1170,1370,25,31
1434,national-universities,American University,american-university,,private,79,"Washington, DC",51334,7953,38245.0,40,39,,,3.1,,,1220,1390,27,32
3670,national-universities,Brigham Young University--Provo,byu,,private,79,"Provo, UT",6120,33365,13790.0,38,69,3.8,2.5,3.5,2.9,3.5,1200,1410,26,32
3778,national-universities,Gonzaga University,gonzaga-university,,private,79,"Spokane, WA",48470,4852,52253.0,45,73,3.7,3.3,3.1,2.4,3.6,1160,1350,25,30
2972,national-universities,North Carolina State University,north-carolina-state-raleigh,,public,79,"Raleigh, NC",29916,26150,30314.0,39,46,3.8,3.4,3.1,3.5,,1230,1410,27,32
2836,national-universities,Binghamton University--SUNY,suny-binghamton,,public,83,"Binghamton, NY",27909,14333,36364.0,76,43,3.9,2.4,2.9,2.8,3.5,1290,1450,29,32
